"TIME_PERIOD";"values";"var_mens";"var_yoy"
2024-01-01;6,5;0;-0,6
2024-02-01;6,6;0,1;-0,4
2024-03-01;6,5;-0,1;-0,4
2024-04-01;6,4;-0,1;-0,2
2024-05-01;6,4;0;0,1
2024-06-01;6,3;-0,1;0,1
2024-07-01;6,3;0;0,1
2024-08-01;6,3;0;0
2024-09-01;6,5;0,2;-0,1
2024-10-01;6,6;0,1;0
2024-11-01;6,6;0;0,1
2024-12-01;6,5;-0,1;0
2025-01-01;6,4;-0,1;-0,1
2025-02-01;6,4;0;-0,2
2025-03-01;6,4;0;-0,1
2025-04-01;6,3;-0,1;-0,1
2025-05-01;6,1;-0,2;-0,3
2025-06-01;5,9;-0,2;-0,4
2025-07-01;5,8;-0,1;-0,5
2025-08-01;5,9;0,1;-0,4
2025-09-01;6;0,1;-0,5
